,_Casualty Count,_Casualty Severity,Collision Location,Latitude,Longitude
0,1.0,Slight,"On Belsize Park Gardens, Near The Junction With Glenilla Road.",51.54760504251749,-0.1671217607915306
1,2.0,Slight,"On Chase Side, Near The Junction With Chase Side.",51.63652635809037,-0.1382784485935869
2,1.0,Slight,"On Elm Park Avenue, 25 Metres East Of The Junction With Diban Avenue .",51.55168909155927,0.2010257932935752
3,1.0,Slight,"On Highmead, Near The Junction With Combeside.",51.47489092407957,0.095428579533688
4,1.0,Slight,"On Grove Street, Near The Junction With Oxestalls Road.",51.48867992489148,-0.0345746316596557
5,1.0,Serious,"On Plumstead High Street, 33 Metres West Of The Junction With Riverdale Road.",51.486840867665634,0.0950113640350657
6,1.0,Slight,"On Effra Road, 27 Metres North Of The Junction With Saltoun Road.",51.45988236669721,-0.1154470299484932
7,1.0,Slight,"On High Road, 20 Metres South Of The Junction With Bromley Road N17.",51.60113563357753,-0.0678154180276703
8,2.0,Slight,"Location Uncertain Great Portland Street, Near The Junction With Great Cumberland / Castle Street.",51.51609899562879,-0.1410598990032291
9,1.0,Slight,"Location Uncertain Seven Sisters Road, 100 Metres  Junction With Queen'S Drive.",51.566955177876586,-0.1008647066224195
10,1.0,Slight,"On Petersham Road , Near The Junction With Sandy Lane.",51.44087394978836,-0.3033743128159373
11,2.0,Serious,"On Brixton Hill, 30 Metres North Of The Junction With St Matthews Road.",51.45981122539217,-0.1166159741734903
12,1.0,Slight,"On Limehouse Link Tunnel, Near The Junction With Limehouse Link Tunnel From West Ferry .",51.50974234795311,-0.0330630032203287
13,1.0,Slight,"On Bramley Road, 5 Metres North Of The Junction With Prince George Avenue.",51.64891020070849,-0.1298786606011097
14,1.0,Slight,"On Sheepcote Road, 50 Metres South Of The Junction With Station Road.",51.58216123982147,-0.3309536120802426
15,1.0,Slight,"On Old Ford Road, Near The Junction With Victoria Park.",51.53392342371744,-0.0395040969123478
16,1.0,Slight,"On Copenhagen Street, Near The Junction With Bemerton Street.",51.53695807210479,-0.1188403568367907
17,3.0,Slight,"On Brockley Way , 50 Metres East Of The Junction With Turnham Road.",51.45557440971181,-0.042431139724348
18,1.0,Slight,"(On Newdales Close, 10 Metres North Of The Junction With The Concourse.) Pin Drop And Description Text Suggest Occurred On A1010 Hertford Road",51.62613945009463,-0.0577521804062184
19,2.0,Slight,"On Shrewsbury Road, Near The Junction With Bristol Road.",51.54318693174829,0.0421318852457855
20,1.0,Slight,"On Hertford Road, 5 Metres North Of The Junction With Cedar Avenue.",51.65966999547498,-0.0467760284432118
